transaction_id,transaction_date,observed_through_date,transaction_amt,product_cd,card_type,card_category,days_to_report_or_censoring,reported_fraud,_true_is_fraud
3133815,2018-01-04,2018-04-17,18.539,C,visa,debit,103.0,0,0
3065011,2017-12-20,2018-04-17,15.0,S,visa,debit,118.0,0,0
3318318,2018-03-05,2018-04-17,107.95,W,visa,debit,43.0,0,0
3057015,2017-12-19,2018-04-17,25.95,W,visa,debit,119.0,0,0
3409301,2018-04-03,2018-04-17,226.0,W,visa,credit,14.0,0,0
3354865,2018-03-16,2018-04-17,29.0,W,visa,debit,32.0,0,0
3413923,2018-04-04,2018-04-17,49.0,W,visa,credit,13.0,0,0
3370753,2018-03-22,2018-04-17,35.95,W,visa,debit,26.0,0,0
3204606,2018-01-28,2018-04-17,34.95,W,visa,debit,79.0,0,0
3196471,2018-01-25,2018-04-17,32.356,C,visa,credit,28.3,1,1
3406113,2018-04-02,2018-04-17,179.95,W,visa,debit,15.0,0,0
3231105,2018-02-06,2018-04-17,19.395,C,mastercard,debit,70.0,0,0
3288461,2018-02-25,2018-04-17,112.99,W,visa,debit,51.0,0,0
3193327,2018-01-24,2018-04-17,59.54,W,visa,debit,83.0,0,0
3031112,2017-12-13,2018-04-17,694.95,W,visa,credit,125.0,0,0
3389158,2018-03-28,2018-04-17,44.99,W,visa,debit,20.0,0,0
3054202,2017-12-18,2018-04-17,57.95,W,visa,debit,120.0,0,0
3380943,2018-03-25,2018-04-17,25.95,W,visa,debit,23.0,0,0
3325645,2018-03-07,2018-04-17,107.95,W,visa,debit,41.0,0,0
3009270,2017-12-07,2018-04-17,97.0,W,visa,debit,131.0,0,0
3208539,2018-01-30,2018-04-17,104.47,W,visa,debit,77.0,0,0
3123935,2018-01-01,2018-04-17,29.0,W,mastercard,debit,106.0,0,0
3375543,2018-03-23,2018-04-17,31.95,W,mastercard,debit,25.0,0,0
3345186,2018-03-13,2018-04-17,159.95,W,mastercard,debit,35.0,0,0
3126706,2018-01-02,2018-04-17,209.95,W,visa,credit,104.0,0,0
3048998,2017-12-17,2018-04-17,57.95,W,visa,debit,121.0,0,0
2998413,2017-12-04,2018-04-17,108.95,W,visa,debit,134.0,0,0
3299997,2018-03-01,2018-04-17,35.95,W,visa,debit,47.0,0,0
3048492,2017-12-17,2018-04-17,15.741,C,mastercard,debit,121.0,0,0
3073763,2017-12-22,2018-04-17,32.356,C,visa,debit,116.0,0,0
3314017,2018-03-04,2018-04-17,155.5,W,mastercard,debit,44.0,0,0
2991885,2017-12-02,2018-04-17,167.0,W,visa,credit,136.0,0,0
3000908,2017-12-05,2018-04-17,283.0,W,mastercard,credit,133.0,0,0
3263935,2018-02-16,2018-04-17,100.0,W,visa,debit,60.0,0,0
3019215,2017-12-10,2018-04-17,47.95,W,visa,debit,128.0,0,0
3203745,2018-01-28,2018-04-17,1854.95,W,visa,debit,79.0,0,0
3223387,2018-02-03,2018-04-17,59.0,W,mastercard,debit,73.0,0,0
3239969,2018-02-08,2018-04-17,40.0,S,mastercard,credit,68.0,0,0
3310510,2018-03-03,2018-04-17,34.5,W,visa,debit,45.0,0,0
3079974,2017-12-23,2018-04-17,100.0,R,visa,debit,115.0,0,0
3211819,2018-01-31,2018-04-17,67.95,W,visa,debit,76.0,0,0
3158866,2018-01-12,2018-04-17,35.95,W,visa,debit,95.0,0,0
3084116,2017-12-23,2018-04-17,50.0,R,visa,debit,115.0,0,0
3081880,2017-12-23,2018-04-17,125.0,R,mastercard,credit,115.0,0,0
2993005,2017-12-03,2018-04-17,13.95,W,visa,debit,135.0,0,0
3392297,2018-03-29,2018-04-17,17.884,C,mastercard,credit,19.0,0,0
3242250,2018-02-09,2018-04-17,226.0,W,discover,credit,67.0,0,0
3062798,2017-12-20,2018-04-17,639.0,W,visa,debit,118.0,0,0
3445946,2018-04-16,2018-04-17,59.0,W,visa,debit,1.0,0,0
3107158,2017-12-28,2018-04-17,59.0,W,visa,credit,110.0,0,0
3140651,2018-01-06,2018-04-17,28.334,C,visa,credit,101.0,0,0
3319099,2018-03-05,2018-04-17,25.95,W,visa,debit,43.0,0,0
3115955,2017-12-30,2018-04-17,136.189,C,visa,credit,108.0,0,0
3370794,2018-03-22,2018-04-17,48.457,C,mastercard,debit,26.0,0,0
3421063,2018-04-06,2018-04-17,72.95,W,visa,debit,11.0,0,0
3112699,2017-12-29,2018-04-17,16.441,C,mastercard,debit,30.8,1,1
3134373,2018-01-04,2018-04-17,81.95,W,visa,credit,102.0,0,0
3380189,2018-03-25,2018-04-17,20.059,C,visa,debit,23.0,0,0
3160667,2018-01-13,2018-04-17,68.5,W,visa,debit,94.0,0,0
3052593,2017-12-18,2018-04-17,92.0,W,visa,debit,120.0,0,0
3118358,2017-12-31,2018-04-17,48.097,C,visa,credit,107.0,0,0
3299091,2018-02-28,2018-04-17,34.0,W,visa,debit,48.0,0,0
2988224,2017-12-02,2018-04-17,171.0,W,visa,debit,136.0,0,0
3387912,2018-03-27,2018-04-17,141.0,W,mastercard,debit,21.0,0,0
3071432,2017-12-21,2018-04-17,100.0,R,mastercard,credit,117.0,0,0
2987603,2017-12-02,2018-04-17,30.0,S,visa,credit,136.0,0,0
3138486,2018-01-06,2018-04-17,83.97,W,mastercard,debit,101.0,0,0
3300251,2018-03-01,2018-04-17,31.358,C,visa,credit,47.0,0,0
3292088,2018-02-26,2018-04-17,107.95,W,visa,debit,50.0,0,0
3025238,2017-12-11,2018-04-17,6.88,C,mastercard,debit,127.0,0,0
3378794,2018-03-24,2018-04-17,49.0,W,visa,debit,24.0,0,0
3178730,2018-01-19,2018-04-17,54.5,W,mastercard,credit,88.0,0,0
3128018,2018-01-03,2018-04-17,1651.0,W,visa,debit,104.0,0,0
3360066,2018-03-18,2018-04-17,57.95,W,mastercard,debit,30.0,0,0
3199293,2018-01-26,2018-04-17,654.95,W,mastercard,credit,81.0,0,0
3288896,2018-02-25,2018-04-17,311.95,W,visa,credit,51.0,0,0
3127770,2018-01-03,2018-04-17,97.0,W,mastercard,debit,104.0,0,0
2996900,2017-12-04,2018-04-17,171.0,W,mastercard,debit,134.0,0,0
3325140,2018-03-07,2018-04-17,57.95,W,mastercard,credit,41.0,0,0
3396089,2018-03-30,2018-04-17,107.95,W,visa,debit,18.0,0,0
3235716,2018-02-07,2018-04-17,200.0,W,visa,debit,69.0,0,0
2988645,2017-12-02,2018-04-17,36.95,W,mastercard,debit,136.0,0,0
3083583,2017-12-23,2018-04-17,209.95,W,mastercard,debit,115.0,0,0
3113036,2017-12-29,2018-04-17,107.95,W,mastercard,debit,109.0,0,0
3325986,2018-03-07,2018-04-17,39.99,W,mastercard,debit,41.0,0,0
3322352,2018-03-06,2018-04-17,29.0,W,visa,debit,42.0,0,0
3028065,2017-12-12,2018-04-17,15.95,W,mastercard,debit,126.0,0,0
3176526,2018-01-18,2018-04-17,117.0,W,visa,debit,89.0,0,0
3379466,2018-03-24,2018-04-17,36.614,C,visa,debit,24.0,0,0
3272644,2018-02-20,2018-04-17,97.0,W,visa,debit,56.0,0,0
3229450,2018-02-05,2018-04-17,335.0,W,visa,debit,71.0,0,0
3009804,2017-12-07,2018-04-17,10.0,W,visa,debit,9.4,1,1
3374965,2018-03-23,2018-04-17,57.95,W,visa,debit,25.0,0,0
3186168,2018-01-22,2018-04-17,146.0,W,visa,debit,85.0,0,0
3334342,2018-03-09,2018-04-17,185.0,W,visa,debit,39.0,0,0
3028097,2017-12-12,2018-04-17,117.0,W,visa,debit,126.0,0,0
3331139,2018-03-09,2018-04-17,29.364,C,visa,debit,39.0,0,0
3422378,2018-04-07,2018-04-17,57.95,W,visa,debit,10.0,0,0
3000588,2017-12-05,2018-04-17,57.95,W,visa,debit,133.0,0,0
3433233,2018-04-11,2018-04-17,60.0,H,visa,debit,6.0,0,0
3182449,2018-01-20,2018-04-17,49.0,W,mastercard,debit,15.5,1,1
3023945,2017-12-11,2018-04-17,184.95,W,mastercard,debit,127.0,0,0
3372188,2018-03-22,2018-04-17,59.0,W,mastercard,credit,26.0,0,0
3200186,2018-01-27,2018-04-17,30.95,W,mastercard,debit,80.0,0,0
3331841,2018-03-09,2018-04-17,280.0,W,visa,credit,39.0,0,0
3004142,2017-12-06,2018-04-17,107.95,W,visa,debit,132.0,0,0
3280995,2018-02-22,2018-04-17,31.95,W,mastercard,debit,54.0,0,0
3001953,2017-12-05,2018-04-17,107.95,W,visa,debit,133.0,0,0
3434945,2018-04-11,2018-04-17,150.0,H,visa,credit,6.0,0,0
3309444,2018-03-03,2018-04-17,160.5,W,mastercard,debit,45.0,0,0
3000801,2017-12-05,2018-04-17,200.0,H,mastercard,credit,133.0,0,0
3305963,2018-03-02,2018-04-17,107.95,W,visa,debit,46.0,0,0
3386422,2018-03-27,2018-04-17,34.439,C,mastercard,credit,21.0,0,0
3343945,2018-03-13,2018-04-17,47.95,W,visa,credit,35.0,0,0
3071803,2017-12-21,2018-04-17,280.0,W,mastercard,debit,117.0,0,0
3076629,2017-12-22,2018-04-17,25.0,R,visa,credit,116.0,0,0
3302041,2018-03-01,2018-04-17,82.95,W,visa,debit,47.0,0,0
3340024,2018-03-11,2018-04-17,506.47,W,visa,credit,37.0,0,0
3121542,2018-01-01,2018-04-17,67.0,W,visa,credit,106.0,0,0
3121712,2018-01-01,2018-04-17,104.474,C,mastercard,credit,106.0,0,0
3274889,2018-02-20,2018-04-17,117.0,W,visa,debit,56.0,0,0
3155160,2018-01-11,2018-04-17,362.3,W,mastercard,credit,96.0,0,0
3149880,2018-01-09,2018-04-17,97.95,W,visa,debit,98.0,0,0
3354822,2018-03-16,2018-04-17,209.95,W,visa,debit,32.0,0,0
3275287,2018-02-20,2018-04-17,49.0,W,visa,debit,55.0,0,0
3076983,2017-12-22,2018-04-17,59.0,W,visa,debit,116.0,0,0
3241261,2018-02-09,2018-04-17,117.0,W,mastercard,debit,67.0,0,0
2993907,2017-12-03,2018-04-17,226.0,W,mastercard,debit,135.0,0,0
3312160,2018-03-03,2018-04-17,213.0,W,visa,debit,45.0,0,0
3144575,2018-01-07,2018-04-17,72.292,C,visa,credit,100.0,0,0
3087945,2017-12-24,2018-04-17,107.95,W,visa,credit,114.0,0,0
3403052,2018-04-01,2018-04-17,59.0,W,visa,debit,16.0,0,0
3389420,2018-03-28,2018-04-17,141.0,W,visa,debit,20.0,0,0
3368231,2018-03-21,2018-04-17,42.0,W,visa,debit,27.0,0,0
3123118,2018-01-01,2018-04-17,107.95,W,visa,debit,106.0,0,0
3105801,2017-12-27,2018-04-17,100.0,H,mastercard,credit,111.0,0,0
3385623,2018-03-27,2018-04-17,117.0,W,visa,debit,21.0,0,0
3312946,2018-03-03,2018-04-17,57.95,W,mastercard,debit,45.0,0,0
3360462,2018-03-18,2018-04-17,11.238,C,visa,debit,30.0,0,0
3316450,2018-03-04,2018-04-17,97.0,W,visa,debit,44.0,0,0
